ID::585376369120534528	Text::-Obama  CANNOT secure the US Borders but he can secure  a nuclear Iran ? -	Time::2015-04-07 2:39:36 AM	Lattitude::26.811794	Longitude::-80.088551
ID::585378369933418496	Text::Obama presents climate change as hazard to your health: President Barack Obama will ask Americans to think of… http://t.co/2hyQM22E0u	Time::2015-04-07 2:47:33 AM	Lattitude::42.333127	Longitude::-83.048488
ID::585379322849988609	Text::US Senate planning Iran vote despite Obama warning http://t.co/3miyqJ5VOL via @YahooNews #NoMoreGOPWar	Time::2015-04-07 2:51:21 AM	Lattitude::36.821812	Longitude::-119.856403
ID::585379442589040640	Text::@BraveConWarrior I trust Obama about as much as I trust the a-holes Castro brothers.	Time::2015-04-07 2:51:49 AM	Lattitude::35.507653	Longitude::-78.318023
ID::585379867811647488	Text::Obama Compares Iran Deal To A House Under Contract Awaiting Appraisal  https://t.co/wwegKnEjhD	Time::2015-04-07 2:53:30 AM	Lattitude::32.427908	Longitude::53.688046
ID::585381381452206080	Text::Obama's America (@ Ulster American Folk Park in Castletown Omagh) https://t.co/UKYuiBomTJ	Time::2015-04-07 2:59:31 AM	Lattitude::54.659262	Longitude::-7.334776
ID::585381413215543297	Text::@papa_dotson @FreedomsLH Mr Netanyahu needn't worry unduly or take offense...Obama will be gone soon and no-one fully trusts Iran anyway...	Time::2015-04-07 2:59:39 AM	Lattitude::-36.215788	Longitude::150.124841
ID::585381423961346048	Text::@Ma3Route ... Is it an Obama visit dry run? Traffic mayhem Msa Rd... at Southern bypass interchange.	Time::2015-04-07 2:59:41 AM	Lattitude::-1.3221	Longitude::36.84643
ID::585381437336977408	Text:: @WSCP1: #ObamaShutDown: Obama &amp; Senate Dems reject numerous GOP proposals to Fund Gov http://t.co/EbOcAFfhKD #LNYHBT  #PJNet 	Time::2015-04-07 2:59:45 AM	Lattitude::36.22442	Longitude::-115.30355
ID::585381542802788352	Text::@americans4amer to equal obama - bush to would have to get reelected &amp; make 3 unconstitutional executive orders &amp; 100+ other bad decisions.	Time::2015-04-07 3:00:10 AM	Lattitude::32.706418	Longitude::-117.003612
ID::585381660817895424	Text::Obama says Iran could cut nuke time to near zero in 13 years http://t.co/x7RlXPtVOQ	Time::2015-04-07 3:00:38 AM	Lattitude::35.670471	Longitude::139.686206
ID::585382816386453504	Text::Mr president  obama take it easy !? We can as a gcc sstates take care of our own bussiness? Take care of your own  bussiness please ??!!😜😜😜	Time::2015-04-07 3:05:13 AM	Lattitude::29.29248	Longitude::47.902379
ID::585383305954066432	Text::First Lady Michelle Obama Dancing To Uptown Funk at White House (VIDEO): https://t.co/sWd73ia7PR just too cool 👍	Time::2015-04-07 3:07:10 AM	Lattitude::48.618448	Longitude::9.311876
ID::585383325537173504	Text::http://t.co/uRSxRvfE1x.  Obama still sucks!	Time::2015-04-07 3:07:15 AM	Lattitude::43.702466	Longitude::-93.379265
ID::585383670422212608	Text::Obama says would move fast to take Cuba off terrorism spons... http://t.co/gMjQPG3CPZ #Cuba #Obama http://t.co/FuPFoiOgFT	Time::2015-04-07 3:08:37 AM	Lattitude::21.521757	Longitude::-77.781167
ID::585384215887286272	Text::How does The Obama regime get Dems to change their Iran or any other vote? What is: NSA spying/blackmail?	Time::2015-04-07 3:10:47 AM	Lattitude::32.630435	Longitude::-99.253132
ID::585385839875751936	Text::@Conservatexian @AmyMek agreed but sadly they are being encouraged to come here! Obama years are tragic for America	Time::2015-04-07 3:17:14 AM	Lattitude::42.709681	Longitude::-77.880594
ID::585386334560264192	Text::We are to trust Obama when he says the deal with Iran is what's best for the world but said isis was a JV team not worth a look?	Time::2015-04-07 3:19:12 AM	Lattitude::35.996563	Longitude::-83.932796
ID::585386813696544768	Text::Community Organizing pt.2 Obama says Iran breakout time could shrink 'almost down to 0 after 13 years http://t.co/QGpWwI2WgC #tcot #cdnpoli	Time::2015-04-07 3:21:07 AM	Lattitude::43.912195	Longitude::-79.46072
ID::585388637841399808	Text::@ChristieC733 Sad but true soros wants an open society or new world order obama just arrogant enough to try	Time::2015-04-07 3:28:21 AM	Lattitude::42.724609	Longitude::-83.019233
ID::585389316555276288	Text::Michelle Obama dances for obesity initiative - http://t.co/jy2WyAWLxY Woah! Go Michelle!	Time::2015-04-07 3:31:03 AM	Lattitude::54.561265	Longitude::-1.345385
ID::585389981016973312	Text::President  Obama  is handing	Time::2015-04-07 3:33:42 AM	Lattitude::38.756944	Longitude::-76.783768
ID::585390079507435521	Text::Obama on Iran deal: You're welcome America http://t.co/6eri92MWaE #IranDeal dismantled by Charles Duelfer former Head of Iraq Survey Group.	Time::2015-04-07 3:34:05 AM	Lattitude::32.762447	Longitude::-117.1248
